Case,Acetic,H2S,Lactic,Taste
1,4.543,3.135,0.86,12.3
2,5.159,5.043,1.53,20.9
3,5.366,5.438,1.57,39
4,5.759,7.496,1.81,47.9
5,4.663,3.807,0.99,5.6
6,5.697,7.601,1.09,25.9
7,5.892,8.726,1.29,37.3
8,6.078,7.966,1.78,21.9
9,4.898,3.85,1.29,18.1
10,5.242,4.174,1.58,21
11,5.74,6.142,1.68,34.9
12,6.446,7.908,1.9,57.2
13,4.477,2.996,1.06,0.7
14,5.236,4.942,1.3,25.9
15,6.151,6.752,1.52,54.9
16,6.365,9.588,1.74,40.9
17,4.787,3.912,1.16,15.9
18,5.412,4.7,1.49,6.4
19,5.247,6.174,1.63,18
20,5.438,9.064,1.99,38.9
21,4.564,4.949,1.15,14
22,5.298,5.22,1.33,15.2
23,5.455,9.242,1.44,32
24,5.855,10.199,2.0,56.71
25,5.366,3.664,1.31,16.8
26,6.043,3.219,1.46,11.6
27,6.458,6.962,1.72,26.5
28,5.328,3.912,1.25,0.7
29,5.802,6.685,1.08,13.4
30,6.176,4.787,1.25,5.5
